acronym,co2e_mt_calculated,finishdateactual,primaryprojecttype,projectsiteaddress,projectsitename,projectstatus,startdateactual,subtype
DOE,53.86,08-Jul-10,Lighting System Upgrade,31-15 140th St.,P.S. 214Q,Completed,29-Dec-09,Retrofit
DOE,0.00,08-Oct-09,Lighting System Upgrade,15 Clove Alke Place,I.S. 27R,Completed,01-Jul-09,Retrofit
DOE,94.19,02-Feb-10,Lighting System Upgrade,"Academy St. & Yetman Ave., 528 Academy Avenue",Totten Intermediate School (I.S. 34R),Completed,23-Jun-09,Retrofit
DOE,92.93,02-Feb-10,Lighting System Upgrade,20 Houston St.,I.S. 51R,Completed,23-Jun-09,Retrofit
DOE,0.00,23-Dec-09,Lighting System Upgrade,445 Castleton Ave.,I.S. 61R,Completed,23-Jul-09,Retrofit
DOE,116.28,02-Feb-10,Lighting System Upgrade,101 Warren St.,I.S. 49R,Completed,23-Jun-09,Retrofit
DOE,49.28,08-Dec-11,Lighting System Upgrade,"112 Lindenwood Rd, 100 Lindenwood Rd",R008,Completed,15-Jun-11,Retrofit
,,,Other,,,Proposed,,Retro-commissioning
DOE,,,Other,"12 Lindenwood Rd, 100 Lindenwood Rd",P.S. 8R,Survey,,Retro-commissioning
DOE,1767.43,,Comprehensive,411 Pearl Street,Murry Bergtraum High School (M520),Install,25-Jan-12,Retrofit
DOE,,,Other,411 Pearl Street,Murry Bergtraum High School (M520),Survey,,Retro-commissioning
DOE,30.81,30-Jun-09,Lighting System Upgrade,1771 Popham Avenue,P.S. 109X (Sedgwick),Completed,11-May-09,Retrofit
DOE,94.85,21-Nov-11,Lighting System Upgrade,2780 Reservoir Ave @ East 196th Street,X430 Walton H.S.,Completed,10-Jan-11,Retrofit
DOE,39.81,,Lighting System Upgrade,715 East 225th Street,11X021 - 715 East 225th Street,Install,,Retrofit
DOE,59.12,01-Jul-11,Lighting System Upgrade,3352 Olinville Ave,Doe17 11X041 - 3352 Olinville Avenue,Completed,31-Dec-10,Retrofit
DOE,64.13,21-Nov-11,Lighting System Upgrade,700 East 179th Street,12X092 - 700 East 179th Street,Substantially Completed,05-Jan-11,Retrofit
DOE,128.80,31-Dec-11,Lighting System Upgrade,700 Cortelyou Road,Ko62 - 700 Cortelyou Road,Completed,11-Mar-11,Retrofit
DOE,52.42,,Lighting System Upgrade,1365 Fulton Ave,09X002 - 1365 Fulton Avenue,Install,14-Aug-12,Retrofit
DOE,71.93,30-Jun-11,Lighting System Upgrade,690 East 183rd Street,10X032 - 690 East 183rd Street,Completed,13-Dec-10,Retrofit
DOE,85.76,,Lighting System Upgrade,580 Crotona Pkwy South,09X110 - 580 Crotona Park South,Install,14-Aug-12,Retrofit
DOE,106.34,,Lighting System Upgrade,1007 Evergreen Avenue,08X152 - 1007 Evergreen Avenue,Install,,Retrofit
