average_class_size,borough,core_course_ms_core_and_9_12_only_,core_subject_ms_core_and_9_12_only_,csd,data_source,grade_,number_of_sections,number_of_students_seats_filled,program_type,school_code,school_name,schoolwide_pupil_teacher_ratio,service_category_k_9_only_,size_of_largest_class,size_of_smallest_class
24.0,M,-,-,2,ATS,01,1,24,CTT,M006,P.S. 006 Lillie D. Blake,,-,24,24
25.0,M,-,-,2,ATS,02,4,100,GEN ED,M006,P.S. 006 Lillie D. Blake,,-,26,24
25.5,M,-,-,2,ATS,02,2,51,CTT,M006,P.S. 006 Lillie D. Blake,,-,26,25
28.0,M,-,-,2,ATS,03,3,84,GEN ED,M006,P.S. 006 Lillie D. Blake,,-,29,27
25.5,M,-,-,2,ATS,03,2,51,CTT,M006,P.S. 006 Lillie D. Blake,,-,26,25
29.0,M,-,-,2,ATS,04,3,87,GEN ED,M006,P.S. 006 Lillie D. Blake,,-,29,29
29.0,M,-,-,2,ATS,04,1,29,CTT,M006,P.S. 006 Lillie D. Blake,,-,29,29
29.3,M,-,-,2,ATS,05,3,88,GEN ED,M006,P.S. 006 Lillie D. Blake,,-,30,29
28.0,M,-,-,2,ATS,05,1,28,CTT,M006,P.S. 006 Lillie D. Blake,,-,28,28
12.0,M,-,-,2,ATS,0K-09,1,12,SPEC ED,M006,P.S. 006 Lillie D. Blake,,12:1:1,12,12
,M,,,2,,,,,,M006,P.S. 006 Lillie D. Blake,15.4,,,
21.0,M,-,-,2,ATS,0K,3,63,GEN ED,M011,P.S. 011 William T. Harris,,-,21,21
22.0,M,-,-,2,ATS,0K,1,22,CTT,M011,P.S. 011 William T. Harris,,-,22,22
21.0,M,-,-,2,ATS,0K,2,42,G&T,M011,P.S. 011 William T. Harris,,-,21,21
20.5,M,-,-,2,ATS,01,2,41,GEN ED,M011,P.S. 011 William T. Harris,,-,21,20
24.0,M,-,-,2,ATS,01,1,24,CTT,M011,P.S. 011 William T. Harris,,-,24,24
20.5,M,-,-,2,ATS,01,2,41,G&T,M011,P.S. 011 William T. Harris,,-,21,20
20.0,M,-,-,2,ATS,02,2,40,GEN ED,M011,P.S. 011 William T. Harris,,-,21,19
22.0,M,-,-,2,ATS,02,1,22,CTT,M011,P.S. 011 William T. Harris,,-,22,22
20.0,M,-,-,2,ATS,02,2,40,G&T,M011,P.S. 011 William T. Harris,,-,20,20
22.0,M,-,-,2,ATS,03,1,22,GEN ED,M011,P.S. 011 William T. Harris,,-,22,22
26.0,M,-,-,2,ATS,03,1,26,CTT,M011,P.S. 011 William T. Harris,,-,26,26
21.5,M,-,-,2,ATS,03,2,43,G&T,M011,P.S. 011 William T. Harris,,-,22,21
20.0,M,-,-,2,ATS,04,2,40,GEN ED,M011,P.S. 011 William T. Harris,,-,21,19
24.0,M,-,-,2,ATS,04,1,24,CTT,M011,P.S. 011 William T. Harris,,-,24,24
19.0,M,-,-,2,ATS,04,1,19,G&T,M011,P.S. 011 William T. Harris,,-,19,19
22.0,M,-,-,2,ATS,05,1,22,GEN ED,M011,P.S. 011 William T. Harris,,-,22,22
24.0,M,-,-,2,ATS,05,1,24,CTT,M011,P.S. 011 William T. Harris,,-,24,24
17.0,M,-,-,2,ATS,05,2,34,G&T,M011,P.S. 011 William T. Harris,,-,18,16
13.0,M,-,-,2,ATS,0K-09,1,13,SPEC ED,M011,P.S. 011 William T. Harris,,12:1,13,13
13.0,M,-,-,2,ATS,0K-09,1,13,SPEC ED,M011,P.S. 011 William T. Harris,,12:1:1,13,13
,M,,,2,,,,,,M011,P.S. 011 William T. Harris,12.2,,,
22.0,M,-,-,2,ATS,0K,2,44,GEN ED,M033,P.S. 033 Chelsea Prep,,-,22,22
